NM Volt Ampere Efficiency RotationsPerMinute Power
0 10 1 0 4192 32
0.046 10.16652 1.08206 0.91143 4192.41282 32.83676
0.098 10.2806 1.11494 0.77159 4192.5148 33.10473
0.14100000000000001 11.12133 1.79013 1.58927 4193.24217 33.29656
0.193 11.43672 2.78544 0.86037 4194.1419 33.53522
0.268 12.12019 3.25619 0.64617 4194.72477 33.9376
0.272 13.08146 3.34053 0.29302 4195.37795 34.57482
0.28800000000000003 13.78933 4.28564 0.8734 4196.13649 34.99398
0.29900000000000004 14.65459 4.59512 -0.09924 4197.00852 35.78868
0.37500000000000006 13.99699 5.29911 0.17336 4197.61948 36.15525
0.38400000000000006 13.02353 5.37781 0.9133 4197.84752 36.62043
0.45000000000000007 12.62975 6.13274 0.53352 4198.59335 36.98429
0.526 12.55698 6.83563 1.20495 4199.31719 37.1125
0.5630000000000001 11.86852 6.99912 0.67833 4199.409 37.34383
0.5780000000000001 11.79644 7.32202 1.41991 4199.52173 37.525
0.6340000000000001 11.02743 8.17292 0.96417 4200.0336 38.23999
0.6680000000000001 10.14519 9.01996 0.13738 4200.52751 38.47414
0.7520000000000001 10.57004 9.50889 0.44206 4200.95444 38.82179
0.8400000000000001 10.78862 9.82176 0.45597 4201.47712 39.12576
0.8820000000000001 11.5791 9.42425 0.49505 4202.07367 39.74744
0.9550000000000001 12.56402 8.97797 0.94928 4202.23763 40.34077
1 13.04354 8.69653 0.88768 4202.52603 40.35209
1.047 13.91721 7.83284 0.68283 4203.52419 41.06665
1.13 14.18607 7.28536 1.50694 4204.38021 41.72072
1.1949999999999998 13.27887 6.99792 1.11164 4204.7251 42.35038
1.2489999999999999 13.10928 6.78453 0.37263 4205.50615 43.27401
1.2489999999999999 12.76696 6.3153 0.32686 4205.85265 44.10009
1.335 12.69005 5.34951 0.06845 4205.99683 44.29993
1.422 11.85525 4.63041 0.75385 4206.29689 44.34387
1.502 11.05795 4.29645 0.19857 4206.38759 44.96196
1.507 10.76578 3.73072 0.55063 4206.99514 45.58343
1.5099999999999998 10.20733 2.78508 0.63507 4207.29575 46.47255
1.6079999999999999 10.13455 2.32433 0.86467 4208.23533 47.22933
1.6629999999999998 10.71628 2.26261 0.04832 4208.44773 47.5649
1.6969999999999998 11.23203 1.29319 0.47294 4208.79257 47.98292
1.7559999999999998 12.09469 0.77471 -0.15216 4209.27923 48.92106
1.7689999999999997 12.84972 0.40011 0.69228 4209.74597 49.54849
1.7799999999999996 13.0065 0.82819 0.71934 4210.20254 49.80649
1.7819999999999996 13.47232 1.71394 0.17968 4211.01073 50.73019
1.8339999999999996 13.81916 1.8435 0.47536 4211.6278 51.61436
1.9199999999999997 14.76622 2.79357 0.92578 4212.0221 52.35122
1.9689999999999996 14.1008 3.25162 0.71601 4212.1574 52.85237
2.0429999999999997 13.5289 3.62908 1.51011 4213.14558 52.9268
2.0789999999999997 12.94679 3.73197 0.99154 4213.75777 53.2244
2.135 12.93016 4.36543 0.53385 4214.50576 53.96414
2.154 12.68823 5.19882 0.26388 4214.72466 54.26537
2.17 12.63346 5.6602 0.15965 4215.04809 54.75143
2.252 12.11438 6.48183 0.71819 4216.02364 55.55546
2.264 11.21394 7.0565 0.95159 4216.6919 55.68911
2.2899999999999996 10.51707 7.40488 0.73223 4217.32544 56.02225
2.2959999999999994 10.41855 8.17296 1.65941 4218.28601 56.47711
2.341999999999999 11.33755 8.34142 0.99864 4218.61647 56.56684
2.370999999999999 11.73419 9.28049 0.07026 4219.44302 56.99586
2.388999999999999 12.28703 9.95753 0.41711 4220.36599 57.76728
2.4029999999999987 12.87336 9.31927 -0.18561 4220.9279 58.13132
2.4769999999999985 13.39373 8.87382 0.78521 4221.33863 58.76697
2.5519999999999987 14.12155 8.72329 -0.16123 4222.26582 59.52458
2.6329999999999987 13.13736 8.205 -0.09659 4222.58087 60.21848
2.6729999999999987 12.59637 7.58832 0.62674 4222.77337 61.21553
2.687999999999999 11.72158 6.84229 0.90508 4223.50039 62.04639
2.699999999999999 10.73951 6.52312 0.12977 4223.7603 62.06853
2.775999999999999 11.50187 5.64441 0.95898 4224.68728 62.93315
2.7859999999999987 11.54684 5.58224 0.27082 4225.11365 63.3592
2.8119999999999985 12.4008 5.21985 0.0682 4225.67668 64.09728
2.8579999999999983 13.10269 5.05419 0.68696 4226.1932 65.05371
2.8789999999999982 13.12999 4.28607 0.96846 4226.37944 65.14152
2.880999999999998 13.20428 3.44916 0.04161 4226.84515 65.75308
2.938999999999998 13.58461 2.63012 0.24333 4227.40543 65.8637
2.9439999999999977 14.51276 1.65259 -0.64622 4227.98478 66.10223
3.042999999999998 14.6038 0.90427 -0.02874 4228.10499 66.66578
3.136999999999998 14.03417 0.40615 0.09121 4228.83012 67.08919
3.187999999999998 13.1414 1.20632 0.50154 4229.24527 67.56218
3.248999999999998 13.06021 1.94688 -0.04716 4230.2391 67.89051
3.308999999999998 12.70424 2.73963 0.24475 4231.1916 68.35388
3.405999999999998 11.97842 3.70088 0.48633 4231.69945 68.73808
3.4519999999999977 11.27717 4.42713 -0.38921 4232.58146 69.63216
3.4919999999999978 10.837 5.38668 -0.16867 4232.62594 70.36174
3.494999999999998 10.55132 6.20422 0.41706 4232.79181 70.78064
3.521999999999998 10.46508 7.08186 0.92307 4233.12502 71.41482
3.545999999999998 10.33285 8.00854 0.28128 4233.89319 72.11507
3.583999999999998 10.89652 8.72089 0.04317 4234.81364 73.00234
3.666999999999998 11.68558 8.89885 0.87453 4235.48955 73.56228
3.755999999999998 12.4233 9.48014 0.33977 4236.08643 74.11154
3.765999999999998 13.09265 8.56232 1.25454 4236.70129 74.89697
3.8639999999999977 13.43586 8.01031 1.09606 4237.00438 74.90936
3.8729999999999976 14.23162 7.35464 0.31217 4237.66252 75.75322
3.8999999999999977 13.44843 7.01758 0.81211 4238.41778 75.85394
3.9859999999999975 12.97294 6.77693 0.43863 4238.6829 76.70783
4.0349999999999975 12.03605 6.44521 0.13423 4239.24798 77.58547
4.078999999999997 11.62886 5.59238 1.12689 4239.4682 78.4947
4.085999999999997 10.77716 4.85992 0.26115 4239.72458 79.2219
4.136999999999997 10.72337 4.69494 0.99783 4240.0096 79.43818
4.178999999999997 10.4105 4.0294 0.89362 4240.87147 79.45828
4.190999999999996 10.09667 3.69761 0.54771 4241.60518 80.27682
4.217999999999996 10.43858 2.84497 1.30336 4242.49543 80.6457
